metric,value,unit
Analytical result rows,1992002,count
Distinct public water systems,10313,count
Distinct facilities,26545,count
Distinct sampling points,26732,count
Contaminants,30,count
Minimum collection date,2023-01-03,date
Maximum collection date,2026-06-17,date
Bad/unparseable dates,0,count
Missing/unparseable MRL,0,count
Detected records missing numeric result,0,count
Censored records with numeric result,0,count
Rows reported in µg/L,1992002,count
