PWSID,Utility,State,National_Priority_Rank,Priority_Score,Priority_Tier,UCMR_Size,UCMR_Max_PFOA_Avg_ng_L,UCMR_Max_PFOS_Avg_ng_L,Affected_Sampling_Point_Fraction,case_role,current_scale,average_demand_mgd,project_stage,published_capital,published_annual_om
PA3390032,Emmaus Borough Public Water,PA,3,99.1,Tier 1 — highest,L,19.5,127.0,1.0,Municipal groundwater utility / remediation and affordability case,"4,599 customers",1.27,Remediation/construction and commissioning follow-up,"$14.8–18.7M treat-all-wells study","$0.6–1.0M/year"
NC0326010,Fayetteville Public Works Commission,NC,5,95.8,Tier 1 — highest,L,8.45,16.85,1.0,Large surface-water utility / major implementation program,"98,337 water customers; 225,000+ population served",25.07,Design/construction; interim PAC operating,"~$133M current GAC project estimate","$10–12M/year"
MN1730039,City of Waite Park,MN,43,89.4,Tier 1 — highest,S,5.45,16.5,1.0,Small groundwater utility / pilot-and-design case,"UCMR size S (<10,000)",,Pilot study + preliminary engineering,"$997,100 pilot + $440,000 PFAS PE + $215,000 WTP rehab PE",Pending pilot
